日期,名次,期货公司名称,期货名称,合约代码,成交量,增减量
20190403,-1,期货公司  ,铜                  ,cuall                         ,300139,37495
20190403,0,非期货公司,铜                  ,cuall                         ,1453,799
20190403,1,铜冠金源  ,铜                  ,cu1904                        ,2515,695
20190403,2,国投安信  ,铜                  ,cu1904                        ,2165,770
20190403,3,中信期货  ,铜                  ,cu1904                        ,2150,1265
20190403,4,金瑞期货  ,铜                  ,cu1904                        ,2075,-5085
20190403,5,华安期货  ,铜                  ,cu1904                        ,1830,65
20190403,6,中银国际  ,铜                  ,cu1904                        ,1810,-460
20190403,7,东证期货  ,铜                  ,cu1904                        ,1730,105
20190403,8,华泰期货  ,铜                  ,cu1904                        ,1465,-880
20190403,9,国泰君安  ,铜                  ,cu1904                        ,1430,-390
20190403,10,一德期货  ,铜                  ,cu1904                        ,1420,730
20190403,11,五矿经易  ,铜                  ,cu1904                        ,1340,-500
20190403,12,申万期货  ,铜                  ,cu1904                        ,1075,565
20190403,13,建信期货  ,铜                  ,cu1904                        ,1070,430
20190403,14,国贸期货  ,铜                  ,cu1904                        ,970,235
20190403,15,中信建投  ,铜                  ,cu1904                        ,950,525
20190403,16,银河期货  ,铜                  ,cu1904                        ,945,-1685
20190403,17,兴业期货  ,铜                  ,cu1904                        ,855,0
20190403,18,宏源期货  ,铜                  ,cu1904                        ,780,-825
20190403,19,海通期货  ,铜                  ,cu1904                        ,740,-1190
20190403,20,方正中期  ,铜                  ,cu1904                        ,590,-1190
20190403,999,,铜                  ,cu1904                        ,27905,-6820
20190403,1,华泰期货  ,铜                  ,cu1905                        ,16279,1782
20190403,2,东证期货  ,铜                  ,cu1905                        ,9570,1483
20190403,3,海通期货  ,铜                  ,cu1905                        ,6556,515
20190403,4,中信期货  ,铜                  ,cu1905                        ,5662,-1110
20190403,5,国投安信  ,铜                  ,cu1905                        ,5271,1425
20190403,6,中融汇信  ,铜                  ,cu1905                        ,4780,988
20190403,7,中银国际  ,铜                  ,cu1905                        ,4640,-42
20190403,8,国泰君安  ,铜                  ,cu1905                        ,3761,597
20190403,9,金瑞期货  ,铜                  ,cu1905                        ,3492,-2471
20190403,10,方正中期  ,铜                  ,cu1905                        ,3249,1823
20190403,11,兴证期货  ,铜                  ,cu1905                        ,3173,-778
20190403,12,申万期货  ,铜                  ,cu1905                        ,2897,980
20190403,13,银河期货  ,铜                  ,cu1905                        ,2771,88
20190403,14,建信期货  ,铜                  ,cu1905                        ,2562,1310
20190403,15,南华期货  ,铜                  ,cu1905                        ,1942,-44
20190403,16,五矿经易  ,铜                  ,cu1905                        ,1916,695
20190403,17,东方财富  ,铜                  ,cu1905                        ,1788,-39
20190403,18,长城期货  ,铜                  ,cu1905                        ,1780,320
20190403,19,宏源期货  ,铜                  ,cu1905                        ,1779,-398
20190403,20,鲁证期货  ,铜                  ,cu1905                        ,1634,-435
20190403,999,,铜                  ,cu1905                        ,85502,6689
20190403,1,东证期货  ,铜                  ,cu1906                        ,11569,3992
20190403,2,中信期货  ,铜                  ,cu1906                        ,7291,2228
20190403,3,国投安信  ,铜                  ,cu1906                        ,7156,3255
20190403,4,华泰期货  ,铜                  ,cu1906                        ,7099,1520
20190403,5,中银国际  ,铜                  ,cu1906                        ,3821,648
20190403,6,银河期货  ,铜                  ,cu1906                        ,3411,2070
20190403,7,建信期货  ,铜                  ,cu1906                        ,3052,1404
20190403,8,铜冠金源  ,铜                  ,cu1906                        ,2342,988
20190403,9,方正中期  ,铜                  ,cu1906                        ,2074,586
20190403,10,永安期货  ,铜                  ,cu1906                        ,1911,548
