日期,名次,期货公司名称,期货名称,合约代码,持卖单,增减量
20190403,-1,期货公司  ,铜                  ,cuall                         ,270356,4042
20190403,0,非期货公司,铜                  ,cuall                         ,4146,-420
20190403,1,中信期货  ,铜                  ,cu1904                        ,4695,-1105
20190403,2,金瑞期货  ,铜                  ,cu1904                        ,4060,-240
20190403,3,中粮期货  ,铜                  ,cu1904                        ,3460,65
20190403,4,银河期货  ,铜                  ,cu1904                        ,3085,-85
20190403,5,五矿经易  ,铜                  ,cu1904                        ,2800,335
20190403,6,国泰君安  ,铜                  ,cu1904                        ,2605,35
20190403,7,国贸期货  ,铜                  ,cu1904                        ,2405,-305
20190403,8,铜冠金源  ,铜                  ,cu1904                        ,2055,135
20190403,9,建信期货  ,铜                  ,cu1904                        ,1840,-365
20190403,10,迈科期货  ,铜                  ,cu1904                        ,1290,-120
20190403,11,华安期货  ,铜                  ,cu1904                        ,1030,-365
20190403,12,永安期货  ,铜                  ,cu1904                        ,990,0
20190403,13,国投安信  ,铜                  ,cu1904                        ,795,40
20190403,14,海通期货  ,铜                  ,cu1904                        ,705,-140
20190403,15,中银国际  ,铜                  ,cu1904                        ,700,-5
20190403,16,格林大华  ,铜                  ,cu1904                        ,690,-175
20190403,17,华泰期货  ,铜                  ,cu1904                        ,600,-230
20190403,18,大有期货  ,铜                  ,cu1904                        ,535,-10
20190403,19,云晨期货  ,铜                  ,cu1904                        ,515,-140
20190403,20,首创期货  ,铜                  ,cu1904                        ,420,-105
20190403,999,,铜                  ,cu1904                        ,35275,-2780
20190403,1,海通期货  ,铜                  ,cu1905                        ,6413,-159
20190403,2,五矿经易  ,铜                  ,cu1905                        ,6257,174
20190403,3,国泰君安  ,铜                  ,cu1905                        ,5281,43
20190403,4,中信期货  ,铜                  ,cu1905                        ,5271,-108
20190403,5,华泰期货  ,铜                  ,cu1905                        ,4167,550
20190403,6,中银国际  ,铜                  ,cu1905                        ,3690,149
20190403,7,金瑞期货  ,铜                  ,cu1905                        ,3548,89
20190403,8,云晨期货  ,铜                  ,cu1905                        ,3540,-1
20190403,9,鲁证期货  ,铜                  ,cu1905                        ,3335,254
20190403,10,方正中期  ,铜                  ,cu1905                        ,3166,-1222
20190403,11,银河期货  ,铜                  ,cu1905                        ,2391,165
20190403,12,建信期货  ,铜                  ,cu1905                        ,2305,838
20190403,13,东证期货  ,铜                  ,cu1905                        ,2101,-115
20190403,14,迈科期货  ,铜                  ,cu1905                        ,2010,-6
20190403,15,华安期货  ,铜                  ,cu1905                        ,1841,357
20190403,16,兴业期货  ,铜                  ,cu1905                        ,1693,-20
20190403,17,一德期货  ,铜                  ,cu1905                        ,1688,251
20190403,18,国投安信  ,铜                  ,cu1905                        ,1609,313
20190403,19,格林大华  ,铜                  ,cu1905                        ,1560,-23
20190403,20,铜冠金源  ,铜                  ,cu1905                        ,1533,196
20190403,999,,铜                  ,cu1905                        ,63399,1725
20190403,1,中信期货  ,铜                  ,cu1906                        ,8064,336
20190403,2,五矿经易  ,铜                  ,cu1906                        ,4809,-45
20190403,3,国泰君安  ,铜                  ,cu1906                        ,4478,53
20190403,4,金瑞期货  ,铜                  ,cu1906                        ,4324,-301
20190403,5,云晨期货  ,铜                  ,cu1906                        ,3932,4
20190403,6,银河期货  ,铜                  ,cu1906                        ,2919,366
20190403,7,海通期货  ,铜                  ,cu1906                        ,2909,140
20190403,8,永安期货  ,铜                  ,cu1906                        ,2776,387
20190403,9,兴业期货  ,铜                  ,cu1906                        ,2707,-474
20190403,10,铜冠金源  ,铜                  ,cu1906                        ,2514,325
20190403,11,华泰期货  ,铜                  ,cu1906                        ,2047,264
20190403,12,鲁证期货  ,铜                  ,cu1906                        ,1933,630
