日期,期货名称,交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,持仓手数,增减量
20190403,铜                  ,1904,49120,49130,49420,48900,49390,49150,270,30,36290,76470,-7320
20190403,铜                  ,1905,49260,49150,49540,49000,49510,49230,250,-30,124934,180792,2064
20190403,铜                  ,1906,49370,49230,49620,49100,49590,49330,220,-40,98772,149462,7908
20190403,铜                  ,1907,49440,49180,49640,49150,49620,49360,180,-80,27434,78690,4040
20190403,铜                  ,1908,49470,49320,49660,49180,49650,49400,180,-70,9946,29220,580
20190403,铜                  ,1909,49510,49360,49680,49220,49660,49410,150,-100,2120,13760,-192
20190403,铜                  ,1910,49540,49380,49690,49240,49690,49470,150,-70,1200,6680,226
20190403,铜                  ,1911,49510,49380,49700,49270,49700,49440,190,-70,346,3818,20
20190403,铜                  ,1912,49550,49410,49680,49270,49670,49430,120,-120,324,7692,10
20190403,铜                  ,2001,49550,49420,49690,49330,49690,49530,140,-20,92,1208,-22
20190403,铜                  ,2002,49590,49400,49680,49380,49680,49470,90,-120,84,850,-56
20190403,铜                  ,2003,49500,49440,49480,49310,49480,49400,-20,-100,50,362,-14
20190403,铜                  ,小计,,,,,,,,,301592,549004,7244
20190403,铝                  ,1904,13740,13760,13790,13710,13775,13750,35,10,18720,77790,-570
20190403,铝                  ,1905,13780,13770,13820,13735,13800,13775,20,-5,98962,243362,-5498
20190403,铝                  ,1906,13815,13790,13845,13775,13825,13805,10,-10,59784,190606,4116
20190403,铝                  ,1907,13850,13825,13865,13810,13855,13835,5,-15,22100,87900,2898
20190403,铝                  ,1908,13890,13870,13900,13845,13875,13870,-15,-20,12686,47306,646
20190403,铝                  ,1909,13925,13915,13940,13880,13915,13905,-10,-20,1594,24598,174
20190403,铝                  ,1910,13970,13970,13985,13935,13955,13950,-15,-20,178,8614,52
20190403,铝                  ,1911,14000,13985,14005,13975,14000,13990,0,-10,24,1100,-6
20190403,铝                  ,1912,14040,14040,14055,14000,14050,14040,10,0,24,1248,-10
20190403,铝                  ,2001,14105,14020,14095,13985,14090,14070,-15,-35,122,1268,56
20190403,铝                  ,2002,14100,14085,14110,14085,14110,14095,10,-5,4,148,0
20190403,铝                  ,2003,14160,14010,14135,14010,14135,14100,-25,-60,16,30,8
20190403,铝                  ,小计,,,,,,,,,214214,683970,1866
20190403,锌                  ,1904,22915,22830,23070,22685,23015,22780,100,-135,22340,40960,-7430
20190403,锌                  ,1905,22860,22780,22965,22565,22905,22685,45,-175,477366,250170,-10928
20190403,锌                  ,1906,22550,22490,22665,22280,22620,22395,70,-155,256762,216484,20
20190403,锌                  ,1907,22255,22195,22380,22000,22340,22115,85,-140,65780,116290,-1728
20190403,锌                  ,1908,22020,21920,22150,21775,22105,21895,85,-125,10866,27824,402
20190403,锌                  ,1909,21825,21660,21965,21590,21925,21690,100,-135,5374,6962,498
20190403,锌                  ,1910,21660,21570,21785,21455,21735,21595,75,-65,118,598,8
20190403,锌                  ,1911,21470,21360,21585,21275,21585,21320,115,-150,84,406,-32
20190403,锌                  ,1912,21315,21200,21505,21160,21505,21275,190,-40,68,1598,0
20190403,锌                  ,2001,21315,21045,21405,21045,21405,21135,90,-180,16,364,-4
20190403,锌                  ,2002,21115,20960,21305,20960,21305,21075,190,-40,12,236,0
20190403,锌                  ,2003,21145,20920,21145,20870,21045,20955,-100,-190,80,200,28
20190403,锌                  ,小计,,,,,,,,,838866,662092,-19166
20190403,铅                  ,1904,16800,16775,16860,16710,16860,16785,60,-15,540,6700,-300
20190403,铅                  ,1905,16850,16750,16910,16735,16895,16805,45,-45,26556,42346,-644
