日期,期货名称,最高价,最低价,加权平均价,成交手,成交金额,年成交万手,年成交亿元
20190403,铜                  ,49700,48900,49278.127,301592,743,2174,52810
20190403,铝                  ,14135,13710,13797.431,214214,148,1921,13029
20190403,锌                  ,23070,20870,22540.988,838866,945,4590,49278
20190403,铅                  ,16915,16710,16808.66,37498,32,311,2688
20190403,镍                  ,103940,101100,102530.046,1004516,1030,4484,44366
20190403,锡                  ,151620,148100,148916.148,15842,24,119,1769
20190403,黄金                ,287.2,282,283.493,211064,598,1338,38335
20190403,白银                ,3672,3532,3568.887,380888,204,2768,15284
20190403,螺纹钢              ,3892,3304,3653.774,4237812,1548,22334,81701
20190403,线材                ,4030,3845,4006.959,2458,1,23,89
20190403,热轧卷板            ,3830,3330,3658.03,681460,249,3796,13663
20190403,原油                ,475.5,460,471.319,265576,1252,2229,96438
20190403,燃料油              ,2937,2587,2861.389,736170,211,7239,20112
20190403,石油沥青            ,3550,2902,3499.464,756906,265,5491,17524
20190403,天然橡胶            ,13175,11400,11739.755,330914,388,2407,28837
20190403,纸浆                ,5438,5270,5388.326,208926,113,2239,12092
20190403,总计,,,,10224702,7751,63469,488023
